# BT-NextGen (AGSS2009)
# teff = 25000 K (value for the effective temperature for the model. Temperatures are given in K)
# logg = 4.5 log(cm/s2) (value for Log(G) for the model.)
# meta = 0  (value for the Metallicity for the model.)
# alpha = 0  (Alpha enhancement)
#
#                      Filter	#  Wavelength in Angstrom	#  Flux in erg/cm2/s/A	
#############################	#########################	######################	
                2MASS/2MASS.H	                    16620	       5209396.3599518	
                2MASS/2MASS.J	                    12350	       15167010.557962	
               2MASS/2MASS.Ks	                    21590	       1769259.1069078	
                GAIA/GAIA2r.G	          5836.3100587476	       220086664.84138	
              GAIA/GAIA2r.Gbp	          5020.9202378313	       426440649.93865	
              GAIA/GAIA2r.Grp	          7588.8315754264	       88894685.882038	
            Generic/Cousins.I	          7829.1725903466	       80630955.011682	
            Generic/Cousins.R	          6357.9580280521	       174585203.38361	
            Generic/Johnson.B	            4378.11999165	        679903965.7733	
            Generic/Johnson.R	            6695.58446503	       141767902.10805	
            Generic/Johnson.U	            3570.64730961	       1120932636.0441	
            Generic/Johnson.V	            5466.11399596	       308374951.42952	
             PAN-STARRS/PS1.g	           4810.883141308	       487481154.41406	
             PAN-STARRS/PS1.i	          7503.6764467665	       94887797.286583	
             PAN-STARRS/PS1.r	          6156.3564291844	       197303264.56828	
             PAN-STARRS/PS1.y	          9613.4544956085	       38618170.649721	
             PAN-STARRS/PS1.z	          8668.5619290591	       55005610.731485	
              Paranal/NACO.Ks	            21240.5963451	       1855177.1481233	
              Paranal/VISTA.H	          16348.188840504	       7174629.5803997	
              Paranal/VISTA.J	          12480.995875768	       14317367.907785	
             Paranal/VISTA.Ks	          21435.460615367	       2396248.3679613	
                 SLOAN/SDSS.g	          4640.4198339016	       554341765.48214	
     SLOAN/SDSS.gprime_filter	          4724.6036159648	       519500442.92185	
                 SLOAN/SDSS.i	          7439.4904529922	       97911752.599695	
     SLOAN/SDSS.iprime_filter	          7673.0341411813	       86631128.022577	
                 SLOAN/SDSS.r	          6122.3296283695	       201811292.63358	
     SLOAN/SDSS.rprime_filter	          6202.5780752063	       191889067.42175	
                 SLOAN/SDSS.u	          3594.9304222451	       1079897057.3272	
     SLOAN/SDSS.uprime_filter	          3542.1866034125	       1122615544.1513	
                 SLOAN/SDSS.z	          8897.0610456181	        50347912.13077	
     SLOAN/SDSS.zprime_filter	          10506.539849677	       26136917.931903	
              Spitzer/IRAC.I1	             35075.111436	       252770.55748843	
              Spitzer/IRAC.I2	            44365.7786851	       99528.452175828	
              Spitzer/IRAC.I3	            56281.0168686	       38522.498887423	
              Spitzer/IRAC.I4	            75891.5860201	       11375.797797911	
                 WISE/WISE.W1	                    33526	       310758.64748009	
                 WISE/WISE.W2	                    46028	       88427.560404888	
                 WISE/WISE.W3	                   115608	        2307.736079324	
                 WISE/WISE.W4	                   220883	       176.39541127681	
