Name,RA,DEC,Av,Dist,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag
Gaia DR2 2207191871033079680,343.337866143,62.13972579016,2.78,810.883500062381,18.6883,0.0025,20.3151,0.1032,17.1769,0.0083,14.669,0.036,13.66,0.038,13.203,0.033
Name,RA,DEC,Av,Dist,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag
Gaia DR2 2207191871033079680,343.337866143,62.13972579016,2.78,810.883500062381,18.6883,0.0025,20.3151,0.1032,17.1769,0.0083,14.669,0.036,13.66,0.038,13.203,0.033
