Name,RA,DEC,Av,Dist,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,IPHAS_Hamag,e_IPHAS_Hamag
Gaia DR2 2207203729442390528,343.33381304759,62.16621684399,2,826.60621054684,17.3687,0.0048,18.8838,0.0392,16.0152,0.012,13.725,0.026,12.587,0.022,12.026,0.022,11.097,0.03,10.558,0.025,7.417,0.251,5.298,0.16,16.74,0.01
Name,RA,DEC,Av,Dist,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag
Gaia DR2 2207203729442390528,343.33381304759,62.16621684399,3.64,826.60621054684,17.3687,0.0048,18.8838,0.0392,16.0152,0.012,13.725,0.026,12.587,0.022,12.026,0.022,11.097,0.03,10.558,0.025,7.417,0.251,5.298,0.16
Name,RA,DEC,Av,Dist,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag
Gaia DR2 2207203729442390528,343.33381304759,62.16621684399,3.64,826.60621054684,17.3687,0.0048,18.8838,0.0392,16.0152,0.012,13.725,0.026,12.587,0.022,12.026,0.022,11.097,0.03,10.558,0.025,7.417,0.251,5.298,0.16
Name,RA,DEC,Av,Dist,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag
Gaia DR2 2207203729442390528,343.33381304759,62.16621684399,3.64,826.60621054684,17.3687,0.0048,18.8838,0.0392,16.0152,0.012,13.725,0.026,12.587,0.022,12.026,0.022,11.097,0.03,10.558,0.025,7.417,0.251,5.298,0.16
